time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.25,8.081265000015264,9.044980530915996,0.0,0.00011874796535918645,0.0003364121395179609,1.4338976557226601e-06,0.2906410638061061,0.09044980530915997,-50894825.69156475,54706000.0,5952.48,8489.196159288562,3181.2777039966822,4607.776903633547,0.4999010509356976,0.5000082933269613,220.63763176790158,120.55010175779398,216.7915142319135,5.51581631741464e-13,13011145.234508496,8.078753100009635,38.0,6.0,6.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.8791186820994252,0.035523967500263036,0.12083773906822105,0.7924070034096068,4.357883235382576e-05,0.17206902909013025
30.0,95.41559310001321,8.981064668300396,0.0,0.00011834561745319862,0.00033296632175126373,1.4183172932072162e-06,0.3235526784873134,0.08981064668300397,-50894825.69156475,54706000.0,5952.48,8488.562968050212,3171.6478462202867,4608.044366008093,0.4985758112918956,0.5000129325219194,220.60928313598671,120.54262027593515,216.78199297942396,1.0265726350288446e-12,12951845.228571782,0.8168388000049163,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,0.8790764891319438,0.035507823976310846,0.12087991901743196,0.7924189953238033,4.3591850624203815e-05,0.17207318069988584
60.0,182.84136779999244,8.836370194806783,0.0,0.00011689038405014688,0.0003255530515209178,1.3843848905792378e-06,0.3878423386718926,0.08836370194806784,-50894825.69156475,54706000.0,5952.48,8487.851901466827,3160.01257606013,4608.394803032176,0.4972604887912279,0.5000185188037196,220.5817879253594,120.53540727532514,216.77272762405363,4.500841996798161e-13,12893226.108397981,0.7170108999998774,38.0,6.0,6.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.8790349575852264,0.035492156660147066,0.12092143866509415,0.7924310836722863,4.36037496795023e-05,0.1720767596675666
90.0,273.4235609000025,8.665810813478378,0.0,0.00011507240137766479,0.0003177929276470574,1.346316983708018e-06,0.4495470246036196,0.08665810813478378,-50894825.691564746,54706000.0,5952.48,8487.072134160171,3146.5261653220214,4608.829247772994,0.49597008485759986,0.5000248848690848,220.55548473906757,120.52855394557295,216.76382730211265,1.8296608789805734e-12,12835953.288070282,0.7043186000082642,38.0,6.0,5.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.8789945680757152,0.0354771741135716,0.12096181759353555,0.7924431489541754,4.361433074927373e-05,0.17207967693225298
120.0,364.3118793000176,8.47113648276471,0.0,0.00011290911690136115,0.0003092562937591007,1.3042070139783017e-06,0.5082970447613054,0.0847113648276471,-50894825.69156475,54706000.0,5952.48,8486.228146949808,3131.277253979182,4609.348247522987,0.49470821750157906,0.5000318697900814,220.53046262831836,120.5220847505545,216.75531713274546,5.402780906664137e-13,12780180.15753951,0.7134016000200063,38.0,6.0,5.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.8789554418652958,0.03546294577646475,0.12100093462645821,0.7924551712151446,4.362350824591388e-05,0.17208188300839053
150.0,455.9644023000146,8.253624518597537,0.0,0.00011041276196337017,0.0002999618315755015,1.258118492612296e-06,0.5638879824485987,0.08253624518597537,-50894825.69156475,54706000.0,5952.48,8485.324688957804,3114.3606145057242,4609.950180119853,0.4934783223792732,0.5000392962215743,220.50680346609857,120.51602162514605,216.74721966303395,7.66375687154334e-13,12726050.840800496,0.7238302000041585,38.0,6.0,5.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.8789176983105175,0.03544953910748693,0.12103867049283042,0.792467129446271,4.363119665197843e-05,0.17208333144624222
180.0,546.8645177000144,8.01460330275211,0.0,0.00010759707237842843,0.00028993140644407355,1.208146967213164e-06,0.6161458912446657,0.0801460330275211,-50894825.69156475,54706000.0,5952.48,8484.366729819405,3095.8762377683843,4610.63154750677,0.4922836418792983,0.5000469811222781,220.4845818491261,120.51038400600322,216.7395549723788,6.638842631348093e-13,12673700.008418614,0.7249652000027709,38.0,6.0,5.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.8788814539015011,0.03543701881289374,0.12107490878679403,0.7924790017372891,4.363731170483566e-05,0.17208397944981713
210.0,639.104642899998,7.755443792112934,0.0,0.00010447716074048732,0.0002842548774159089,1.1544179659687496e-06,0.6649274496965972,0.07755443792112934,-50894825.69156475,54706000.0,5952.48,8483.359409937459,3075.9284142774864,4611.387300442714,0.491127215958659,0.5000547448487005,220.46386503496797,120.50518887103547,216.73234076928966,4.81296991685765e-13,12623251.367979933,0.7968120999867097,39.0,7.0,7.0,1.0,16.0,103.0,697.0,0.12875,0.878846821362522,0.03542544617884201,0.1211095368659273,0.7924907654474602,4.3641771550637376e-05,0.17208378837369792
240.0,731.2401826000132,7.477551345737461,0.0,0.0001010693791338587,0.0002906110780808528,1.0970849104804023e-06,0.7101196921747639,0.07477551345737461,-50894825.69156475,54706000.0,5952.48,8482.307990425395,3054.6248235122434,4612.2111744631065,0.4900118747193264,0.500062418501753,220.4447129121401,120.50045078673561,216.7255924813563,7.295851223173105e-13,12574819.90213348,0.7818908999906853,39.0,7.0,7.0,1.0,16.0,100.0,700.0,0.125,0.8788139088152076,0.03541487850070993,0.12114244668694356,0.7925023973898694,4.364449784879289e-05,0.17208272410942077
270.0,825.2898962000036,7.182357784515965,0.0,9.739117416388097e-05,0.0002964219581741645,1.0363269353663717e-06,0.75163935034725,0.07182357784515965,-50894825.69156475,54706000.0,5952.48,8481.21780399261,3032.075643001826,4613.096020374686,0.48894023269691894,0.5000698495091159,220.4271780016031,120.4961819625977,216.71932333942092,1.2697073018757802e-12,12528509.274436764,0.7210498999920674,39.0,7.0,6.0,1.0,16.0,100.0,700.0,0.125,0.8787828190071466,0.03540536860380465,0.12117353557604284,0.792513874022225,4.3645416810443385e-05,0.17208075737397033
