time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Pressure_ctrl_SP_psia,Pressure_ctrl_error_psia,Composition_ctrl_component,Composition_ctrl_SP_molfrac,Composition_ctrl_PV_molfrac,Composition_ctrl_error_molfrac,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,9.869677100010449,1.4770298929542833,0.0,1.9758602850234908e-05,7.120162314322442e-05,2.3194584386487804e-07,0.15515687615243223,0.014770298929542833,-50863250.97628004,54706000.0,5953.056668143668,8469.71594984578,2623.4596791024046,4625.0181821262395,0.4991145339082271,0.5000357205735014,221.2698343963504,120.7213054146016,216.94740646272103,2.8485641391718446e-13,4693208.119602743,9.866971400013426,40.0,8.0,7.0,1.0,16.0,100.0,800.0,0.1111111111111111,221.32122601060775,-0.051391614257340734,n-Butane,0.11987175180429868,0.11996250842270509,9.075661840640681e-05,0.8799953949823537,0.03607546992915028,0.11996250842270509,0.7923838219584033,4.2096594941203715e-05,0.17154070811244643
30.0,60.73455590000958,1.446964599083628,0.0,1.9372395400022918e-05,7.389284068868635e-05,2.2207682261653503e-07,0.16293989608711817,0.01446964599083628,-50860332.10255009,54706000.0,5953.112519785819,8469.23129738297,2618.6509573602043,4625.5331730172875,0.4989004862367785,0.5000402762964343,221.26863060242943,120.72133559212196,216.94737980864804,4.505949238643382e-13,4689786.959302252,0.7270639999769628,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.05259540817831976,n-Butane,0.11987175180429868,0.11996904949367652,9.729768937784267e-05,0.8799888462455415,0.036072630836190736,0.11996904949367652,0.792385243195117,4.2104260782037954e-05,0.17154212596869214
60.0,116.64529740001308,1.383300523550125,0.0,1.8537664078867785e-05,7.867889066612102e-05,2.0121481151269549e-07,0.17775556170849996,0.01383300523550125,-50857528.4478654,54706000.0,5953.167776973927,8468.742021394442,2613.3182905089493,4626.073957117736,0.49869239674348387,0.5000442959006466,221.2680990585633,120.72157814801518,216.9475304689816,6.712533077870985e-13,4686491.358255222,0.7320622999977786,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.05312695204443685,n-Butane,0.11987175180429868,0.11997507886842729,0.00010332706412860548,0.8799828098011961,0.03607031503239427,0.11997507886842729,0.7923866701698243,4.2111330376568155e-05,0.17154301479778147
90.0,171.02824710001005,1.3133372258005207,0.0,1.761373714908396e-05,8.266227091079751e-05,1.7887543443488123e-07,0.19135054766658566,0.013133372258005207,-50854921.78712763,54706000.0,5953.221110499591,8468.260835535064,2607.5777740789517,4626.623200810639,0.49849486550906297,0.5000476240861077,221.26825435951324,120.72202699705497,216.94785381076778,5.277483240061388e-13,4683393.162667997,0.8481485999946017,39.0,7.0,6.0,1.0,16.0,100.0,700.0,0.125,221.32122601060775,-0.0529716510945093,n-Butane,0.11987175180429868,0.11998043884083877,0.0001086870365400866,0.8799774435381631,0.0360685879948245,0.11998043884083877,0.7923880651421712,4.211762099818931e-05,0.1715433468630043
120.0,222.12920900000609,1.2380050658600978,0.0,1.661365603944079e-05,8.578559136083186e-05,1.553635128437314e-07,0.20361603092951555,0.012380050658600978,-50852540.78672041,54706000.0,5953.272172620968,8467.79199919041,2601.4692931510663,4627.172576778196,0.4983087166182907,0.5000502150464259,221.26907915922573,120.72267313175605,216.94834206734734,8.07080404660743e-13,4680503.440977178,0.7696817000105511,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.05214685138201958,n-Butane,0.11987175180429868,0.11998509427361062,0.00011334246931193892,0.8799727826327778,0.03606745608425064,0.11998509427361062,0.7923894150874083,4.2123093611605355e-05,0.17154312882834113
150.0,272.9329650000145,1.1577581558014292,0.0,1.5544154297321477e-05,8.804360403189549e-05,1.3090689000572197e-07,0.214516332512297,0.011577581558014293,-50850411.503194176,54706000.0,5953.320641807776,8467.339505451322,2595.0338031756974,4627.714391227904,0.49813469837532504,0.5000520483638499,221.27055076224087,120.72350605388039,216.94898640303435,3.6792144649482815e-13,4677832.167967502,0.9416130000026897,40.0,8.0,7.0,1.0,16.0,100.0,800.0,0.1111111111111111,221.32122601060775,-0.05067524836687198,n-Butane,0.11987175180429868,0.11998901685655558,0.00011726505225689854,0.8799688554260776,0.03606691956986595,0.11998901685655558,0.7923907076838962,4.2127717366809996e-05,0.17154237274623782
180.0,328.9741916000203,1.0730732345339486,0.0,1.4412231707829607e-05,8.943883579775047e-05,1.0573474846786724e-07,0.22402552174251772,0.010730732345339488,-50848557.23188637,54706000.0,5953.36622465731,8466.907055088075,2588.313037523422,4628.241697276502,0.4979734808589508,0.5000531260744747,221.27264147469626,120.72451390796876,216.9497770032553,8.075358003919419e-13,4675387.91177248,1.0689672000007704,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.04858453591148759,n-Butane,0.11987175180429868,0.11999218514665085,0.00012043334235216363,0.8799656833836236,0.03606697286971069,0.11999218514665085,0.7923919314542384,4.213146972554629e-05,0.17154109567605091
210.0,402.9001378000248,0.984446892247498,1.0,1.322510288063426e-05,8.998174421700847e-05,8.007570406383854e-08,0.232127155903648,0.00984446892247498,-50846998.380662054,54706000.0,5953.408657527886,8466.498035012264,2581.3492228463124,4628.748364042601,0.49782565402350687,0.5000534693234827,221.2753189787922,120.72568361947602,216.95070316829649,9.66468910580339e-13,4673177.849937636,1.544048899988411,41.0,9.0,9.0,1.0,16.0,100.0,900.0,0.1,221.32122601060775,-0.04590703181554545,n-Butane,0.11987175180429868,0.11999458455101202,0.00012283274671333333,0.8799632811125017,0.036067604829997,0.11999458455101202,0.7923930758833185,4.2134336486254184e-05,0.17153931928668442
240.0,479.1804911000072,0.8923923407188028,1.0,1.2049696263482934e-05,8.969060903704454e-05,7.499458716438608e-08,0.23881394221733293,0.008923923407188028,-50845752.36953742,54706000.0,5953.447707875525,8466.115501249787,2574.1848045797924,4629.22910714541,0.497691726336716,0.5000531148391472,221.278546729655,120.72700103710581,216.95175341096697,4.431943131773086e-13,4671207.904773911,1.0865316999843344,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.04267928095273987,n-Butane,0.11987175180429868,0.11999620725283555,0.00012445544853686985,0.8799616564354507,0.03606879904034612,0.11999620725283555,0.7923941315105845,4.213631171374842e-05,0.1715370694490695
270.0,556.4443980000215,0.7974358443564722,1.0,1.0909322813619731e-05,8.85912152000401e-05,8.978760429138403e-08,0.2440873331275422,0.007974358443564722,-50844833.55669007,54706000.0,5953.483175286743,8465.762166249258,2566.862184585966,4629.679486926024,0.49757212394083594,0.5000521114181067,221.2822843728793,120.72845107879851,216.95291555810985,5.094203972515304e-13,4669482.771397826,1.0682721000048332,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.03894163772844195,n-Butane,0.11987175180429868,0.1199970520817092,0.00012530027741051997,0.8799608105207101,0.03607053418127521,0.1199970520817092,0.7923950899977841,4.213739758065408e-05,0.17153437582094075
