time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Feed_temperature_step_F,Feed_temperature_F,Feed_enthalpy_BTUph,Feed_enthalpy_delta_BTUph,Pressure_ctrl_SP_psia,Pressure_ctrl_error_psia,Composition_ctrl_component,Composition_ctrl_SP_molfrac,Composition_ctrl_PV_molfrac,Composition_ctrl_error_molfrac,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,21.724950600008015,0.6483175448714704,0.0,9.110740891619118e-06,8.546535599407434e-05,1.1029588314892536e-07,0.2494923816748269,0.006483175448714704,-50844121.036552876,54706000.0,5953.515883244212,8465.422803151267,2559.174001636256,4630.109152029938,0.49746394826351276,0.5000504542777526,221.2866364555205,120.73007217213556,216.9542205170759,1.0817861754105514e-12,4637473.531573949,21.720381599996472,38.0,6.0,6.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.034589555087251256,n-Butane,0.11987175180429868,0.11999711356307917,0.00012536175878048728,0.8799607488408602,0.036072867956134104,0.11999711356307917,0.7923959707941342,4.213759606065314e-05,0.17153116124973175
15.0,51.893081099988194,0.6234662095951585,0.0,8.832160963649417e-06,8.61318603279744e-05,1.1404605590025924e-07,0.2500749235206684,0.006234662095951585,-50842793.7502783,54706000.0,5953.529765056082,8465.168759391172,2555.547762204552,4630.300573400023,0.4974187562342766,0.500049580481257,221.2888873134807,120.73088994534841,216.95488263076183,5.156753482347482e-13,4636911.002686158,1.1175814000016544,42.0,10.0,6.0,1.0,16.0,2.0,1098.0,0.0018181818181818182,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.03233869712704518,n-Butane,0.11987175180429868,0.11999686264054028,0.00012511083624160146,0.8799609999877098,0.03607414580590385,0.11999686264054028,0.7923963475973899,4.213737174994367e-05,0.17152950659670632
30.0,76.69372629999998,0.5744160613305688,0.0,8.257594840234577e-06,8.616122483620833e-05,1.1724288413009996e-07,0.25050071622702996,0.005744160613305688,-50842438.10485313,54706000.0,5953.543131949623,8465.00105883314,2551.782750729866,4630.49366343684,0.49737564586353294,0.5000486544063668,221.29135792342552,120.73177484945037,216.95560674983307,8.13753867338498e-13,4636351.104807171,0.7008038000203669,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.02986808718222278,n-Butane,0.11987175180429868,0.11999641317544289,0.00012466137114421072,0.8799614498971313,0.036075594099178154,0.11999641317544289,0.7923967142677395,4.213692742586926e-05,0.17152769163308224
45.0,101.66052500001388,0.5242781296763495,0.0,7.637580335985286e-06,8.412381984802171e-05,1.2389893299102895e-07,0.251277098479477,0.005242781296763495,-50842947.9592817,54706000.0,5953.555464004819,8464.915474510639,2548.0094492501676,4630.67699911231,0.4973363228795666,0.5000475885069146,221.2939076235713,120.73267502466345,216.95634489153178,8.099362040591956e-13,4635819.385227231,1.0135603999951854,41.0,9.0,8.0,1.0,16.0,100.0,900.0,0.1,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.027318387036444847,n-Butane,0.11987175180429868,0.11999577051165265,0.00012401870735397058,0.8799620932195096,0.03607716038862655,0.11999577051165265,0.7923970499826568,4.213626883770124e-05,0.1715257896287166
59.5,127.96397969999816,0.4747391504066923,0.0,6.99923493390593e-06,8.05407217849906e-05,1.2899085118663406e-07,0.25164106771898265,0.004747391504066923,-50844121.83931491,54706000.0,5953.566401234609,8464.89693951244,2544.359324294246,4630.84096053239,0.4973019753690327,0.5000463396561567,221.2963962754509,120.73354100409925,216.95705226683188,9.843669425192195e-13,4635337.710226111,0.7185967999976128,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.024829735156856714,n-Butane,0.11987175180429868,0.11999497009923428,0.0001232182949355981,0.8799628944676051,0.03607877428465419,0.11999497009923428,0.7923973396857645,4.213543316056512e-05,0.1715238860295813
