time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Feed_temperature_step_F,Feed_temperature_F,Feed_enthalpy_BTUph,Feed_enthalpy_delta_BTUph,Pressure_ctrl_SP_psia,Pressure_ctrl_error_psia,Composition_ctrl_component,Composition_ctrl_SP_molfrac,Composition_ctrl_PV_molfrac,Composition_ctrl_error_molfrac,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,9.594820700003766,2.9148159583949753,0.0,0.00016299036878806062,0.0029682291121844173,8.273009697745692e-06,0.24602450881320692,0.029148159583949753,-52667306.94514904,54706000.0,6021.304352292572,8712.045909116789,2557.3578529931615,4377.411600950183,0.5017112086010074,0.4980101642959591,221.4475758829699,120.91989283479725,217.32481305632342,4.641120906146889e-13,4583675.069921929,9.592487400019309,71.0,7.0,7.0,2.0,16.0,100.0,700.0,0.125,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.126349872362141,n-Butane,0.11987175180429868,0.1217781425749905,0.0019063907706918237,0.87817792697028,0.03474913847078528,0.1217781425749905,0.7920989432546144,4.393045472951403e-05,0.1731519182746002
30.0,82.97868339999695,2.8778862683278565,0.0,0.000163886840942256,0.002701285822105724,8.326524560908024e-06,0.25170206444024557,0.028778862683278568,-52654811.71271364,54706000.0,6031.7893946171625,8711.001728515299,2564.784519065969,4376.050076294791,0.5019809943520775,0.4984112389564801,221.4247748570238,120.92935606419664,217.35306810749978,8.303609154052074e-13,4586667.6467216555,1.2898366999870632,73.0,9.0,7.0,2.0,16.0,102.0,898.0,0.102,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.10354884641606077,n-Butane,0.11987175180429868,0.12202349472234304,0.002151742918044361,0.8779322807797388,0.034571996439812916,0.12202349472234304,0.7920857993349719,4.422449791818138e-05,0.17334220422521507
60.0,157.2744442000112,2.7548218881521946,0.0,0.00016301539059798128,0.0021754551689127767,8.36827849084824e-06,0.260361130799447,0.027548218881521945,-52638204.481630474,54706000.0,6042.8863955288925,8709.673996494304,2572.5953529899525,4379.594435913035,0.5022153021697171,0.49885387238827855,221.4039615384926,120.93995365060859,217.38174428381328,6.126987100507676e-13,4589489.558005106,1.438400899991393,74.0,10.0,9.0,2.0,16.0,100.0,1000.0,0.09090909090909091,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.08273552788486427,n-Butane,0.11987175180429868,0.12227423475849672,0.0024024829541980375,0.8776812324250134,0.03439559336718931,0.12227423475849672,0.7920770584631149,4.453281648985711e-05,0.17352734816969592
90.0,230.97926779999398,2.56262871010657,0.0,0.00015952445577364937,0.0017017204994810224,8.315387191907645e-06,0.26521190360069036,0.025626287101065702,-52618690.50001723,54706000.0,6054.336891367598,8708.176216248236,2580.542328829777,4387.550793021056,0.5024072648725613,0.49930944277646133,221.38547933727378,120.95130325212001,217.4099418087524,6.428752674659862e-13,4591977.377889276,1.2510942000080831,72.0,8.0,6.0,2.0,16.0,100.0,800.0,0.1111111111111111,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.06425332666603367,n-Butane,0.11987175180429868,0.12252338292921028,0.0026516311249115965,0.8774317708092562,0.03422486166286867,0.12252338292921028,0.7920729683441228,4.484626153359386e-05,0.17370216999300847
120.0,304.44380579999415,2.3121512091021548,0.0,0.00015374627799890432,0.0013310851152994018,8.173857391683785e-06,0.39085101259352084,0.023121512091021548,-52597050.53461975,54706000.0,6066.057124003688,8706.584289765276,2588.5009596654236,4399.276323398862,0.5025555235091878,0.49975832419611904,221.3692007234234,120.96316350543702,217.43727042791943,1.2029129278397022e-12,4594038.840428768,1.3394930999784265,73.0,9.0,9.0,2.0,16.0,100.0,900.0,0.1,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.047974712815658904,n-Butane,0.11987175180429868,0.12276828434201925,0.0028965325377205697,0.8771865550875056,0.03406142952291957,0.12276828434201925,0.7920734823635783,4.516057047509913e-05,0.17386508811350213
150.0,375.68417079999927,2.0144842483810237,0.0,0.00014602266045238535,0.0010332343570913357,7.950629844977185e-06,0.49354648436492426,0.020144842483810238,-52573901.23425919,54706000.0,6077.965187204265,8704.95897331307,2596.3484986448216,4414.082717929809,0.5026593000586252,0.5001840114907405,221.35496958260097,120.97529747747737,217.46338248034186,8.128558439807134e-13,4595599.90150377,1.0865847000095528,70.0,6.0,6.0,2.0,16.0,100.0,600.0,0.14285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.033743571993227306,n-Butane,0.11987175180429868,0.12300649222578156,0.0031347404214828734,0.8769480361921563,0.033906666680469696,0.12300649222578156,0.7920785316987592,4.5471582062111e-05,0.17401480162077104
180.0,449.82630210000207,1.6810923806575908,0.0,0.00013669394895369583,0.000819833019771939,7.652980203095202e-06,0.5728546934356927,0.01681092380657591,-52549755.224592574,54706000.0,6089.981652654477,8703.350860142718,2603.9652038464856,4431.26835873288,0.502718370132165,0.5005733817273823,221.34262330974443,120.98748162391543,217.48797747093502,8.565653221060605e-13,4596603.418037682,1.300166300003184,73.0,9.0,8.0,2.0,16.0,103.0,897.0,0.103,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.021397299136680203,n-Butane,0.11987175180429868,0.1232357778944543,0.0033640260901556113,0.8767184467860635,0.033761706632979345,0.1232357778944543,0.7920880317808086,4.577531948218913e-05,0.1741502615862121
210.0,522.865575600008,1.3233708886144788,0.0,0.00012609133271752234,0.0009046660384020318,7.2883893037315834e-06,0.6292664399240493,0.013233708886144788,-52525059.30820424,54706000.0,6102.030108419185,8701.803349905691,2611.235618791758,4450.146351930602,0.5027330366174162,0.5009167540900291,221.33200504711482,120.99951080867565,217.51080294659025,2.361124626871139e-13,4597008.923961898,1.1108865000132937,70.0,6.0,6.0,2.0,16.0,100.0,600.0,0.14285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.010779036507074125,n-Butane,0.11987175180429868,0.12345413683401878,0.003582385029720095,0.8764997951069515,0.03362746686673893,0.12345413683401878,0.7921018862477933,4.606805902963273e-05,0.1742706468854677
239.5,594.9328290999983,0.9553896421181731,1.0,0.00011462748066008153,0.0012910479704356414,6.868264121974561e-06,0.6638845787778861,0.009553896421181731,-52500629.584064126,54706000.0,6113.838212076952,8700.377341402711,2617.9405696433228,4469.730947004549,0.5027049351058994,0.5012033819252989,221.32310760205976,121.01100946968754,217.5313226169679,4.752458778372701e-13,4596800.340571934,1.076764799974626,70.0,6.0,6.0,2.0,16.0,100.0,600.0,0.14285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.001881591452018938,n-Butane,0.11987175180429868,0.12365647680359122,0.003784724999292541,0.8762971813153533,0.03350661682231278,0.12365647680359122,0.7921196533448678,4.634188105559239e-05,0.17437372983281935
