time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Feed_temperature_step_F,Feed_temperature_F,Feed_enthalpy_BTUph,Feed_enthalpy_delta_BTUph,Pressure_ctrl_SP_psia,Pressure_ctrl_error_psia,Composition_ctrl_component,Composition_ctrl_SP_molfrac,Composition_ctrl_PV_molfrac,Composition_ctrl_error_molfrac,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,19.85576159998891,0.5063846836903948,0.0,0.0015191540510711844,0.02427318478868301,1.6898376217211464e-06,0.5625908033762244,0.00455974736725485,-50858621.82354364,54706000.0,5953.56722391943,8537.341730379727,2544.167015412502,4631.37714148271,0.4973055420154464,0.5000603396737222,221.30135193785637,120.73537873407135,216.95989751952277,3.7759541375665033e-13,4617121.31708513,19.85317029998987,483.0,67.0,65.0,13.0,16.0,100.0,6700.0,0.014705882352941176,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,-0.01987407275137798,n-Butane,0.11987175180429868,0.11999492929587655,0.00012317749157786384,0.879962935317581,0.03607965130654643,0.11999492929587655,0.7923980712372398,4.213538654247256e-05,0.1715222774562138
30.0,312.49810599998455,0.5189640447632924,0.0,0.0004475918765974304,0.011470550587725515,1.5296847079197946e-06,0.4170667301994348,0.0051896404476329235,-51366260.7892414,54706000.0,5953.6531133068565,8597.131200496855,2539.8201639646327,4643.64331183677,0.49751595516387415,0.5003362901097115,221.45903707429017,120.79473142881952,217.02106508412263,3.953771274477604e-13,4597243.046891126,1.8656186999869533,76.0,12.0,9.0,2.0,16.0,105.0,1195.0,0.08076923076923077,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.13781106368242035,n-Butane,0.11987175180429868,0.12000587546624629,0.00013412366194760772,0.8799519822671296,0.03611072584052839,0.12000587546624629,0.7924120813545459,4.214226662403179e-05,0.1714771928049257
60.0,408.64707149998867,0.5359265129105943,1.0,0.00022647415236792175,0.006922082630263541,1.2938061399236921e-06,0.18988005563987825,0.005359265129105943,-51759295.707601994,54706000.0,5953.884939909048,8632.286203977428,2536.824484908505,4637.946910167574,0.49780637423102875,0.5001127244760899,221.5563750610234,120.83369156307529,217.06250102571485,2.528719115047432e-13,4587378.872064676,2.106458800000837,109.0,13.0,11.0,3.0,16.0,102.0,1298.0,0.07285714285714286,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.23514905041565726,n-Butane,0.11987175180429868,0.12004466202496529,0.00017291022066660833,0.8799131680829319,0.036116984872386224,0.12004466202496529,0.7924033033649198,4.2169892103017484e-05,0.17147971176269397
90.0,495.75100759998895,0.24698067635503962,1.0,0.00021095591554770362,0.006972428853800731,2.5268239875049964e-06,0.9459049346910736,0.0024698067635503963,-52050129.506548,54706000.0,5954.281618547588,8658.143522500013,2535.215010765721,4609.569762126842,0.4981530567223951,0.49940310224871753,221.60738874614685,120.85766088557689,217.09663837325297,2.2254733616549426e-12,4579290.551003596,1.139391999982763,70.0,6.0,6.0,2.0,16.0,100.0,600.0,0.14285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.28616273553910787,n-Butane,0.11987175180429868,0.12011370372177686,0.0002419519174781809,0.8798440734315632,0.03607072380584081,0.12011370372177686,0.79237375971184,4.2222846659878576e-05,0.17155551648231912
120.0,580.5498081999831,0.23163556984371092,1.0,0.00019922328257594002,0.006984272922478377,3.85616618833277e-06,1.2027147518415708,0.0023163556984371093,-52261840.69822223,54706000.0,5954.852034114419,8676.7640279782,2534.948853521811,4573.488319571595,0.49854005452353606,0.49866585021092874,221.62657361469184,120.8720447401077,217.1246378108461,6.363815778956226e-13,4573767.072096375,1.4365738999913447,74.0,10.0,7.0,2.0,16.0,104.0,996.0,0.09454545454545454,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.30534760408409056,n-Butane,0.11987175180429868,0.1202132451160498,0.0003414933117511232,0.8797444508388167,0.0359897496379561,0.1202132451160498,0.7923390488940748,4.230404513346698e-05,0.1716712014679691
150.0,662.4514381999907,0.7413624830204489,1.0,0.00020804728835863078,0.006935448176330776,4.713464894505008e-06,1.2323358851907567,0.00741362483020449,-52412612.49778631,54706000.0,5955.59955464842,8689.686486939057,2535.9728492355325,4536.518243015872,0.4989538537307026,0.49806449316069873,221.62449508471974,120.88070435004077,217.14856548497286,1.205533357018991e-13,4570758.837662226,1.3860201999777928,73.0,9.0,8.0,2.0,16.0,100.0,900.0,0.1,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.303269074111995,n-Butane,0.11987175180429868,0.12034244274615312,0.0004706909418544375,0.8796151418545393,0.03588416236461178,0.12034244274615312,0.792303232220584,4.241539930753427e-05,0.17181260541480425
180.0,743.7424815999984,1.2284045063204514,0.0,0.00021064459709894558,0.006802261348920524,5.437458798492519e-06,1.1894916307624954,0.012284045063204515,-52516954.43797995,54706000.0,5956.524375805663,8698.248210939442,2538.227039941895,4500.833494092997,0.4993831734409177,0.49762089465133447,221.60886946254283,120.88639930060162,217.17100325317523,3.1207908111688097e-13,4569764.959199742,1.3719224999949802,73.0,9.0,7.0,2.0,16.0,100.0,900.0,0.1,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.28764345193508234,n-Butane,0.11987175180429868,0.12049987395332132,0.0006281221490226363,0.8794575679283904,0.03575742787146678,0.12049987395332132,0.7922668429497742,4.2558118288390626e-05,0.17197572917875903
210.0,825.1567231999943,1.6706351833058501,0.0,0.00020714291166529656,0.006588736499839835,6.135745634305856e-06,1.10117035610286,0.016706351833058502,-52586495.211020306,54706000.0,5957.6245825216665,8703.539626531629,2541.647587052742,4467.798383409911,0.4998187476268801,0.49733444990567943,221.58529622609075,120.89107820663078,217.19372376954664,1.1130680317125282e-12,4570313.704429959,1.1499264999874867,70.0,6.0,6.0,2.0,16.0,100.0,600.0,0.14285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.26407021548300236,n-Butane,0.11987175180429868,0.12068377164448772,0.0008120198401890405,0.8792734955593612,0.035612421369635626,0.12068377164448772,0.792230892541087,4.273279615101646e-05,0.17215668608927737
240.0,904.3140726999845,2.0517156496716633,0.0,0.0001996672864435017,0.00631227965288114,6.9524842110794495e-06,0.975943313058633,0.020517156496716635,-52630340.472236395,54706000.0,5958.896653521983,8706.412503319314,2546.1674640571932,4438.520084018152,0.5002529670669527,0.49719922747556644,221.55772533274344,120.89606116008643,217.21769251104607,4.5128014547857196e-13,4572024.176926428,1.1953666000044905,71.0,7.0,7.0,2.0,16.0,100.0,700.0,0.125,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.23649932213569969,n-Butane,0.11987175180429868,0.12089213955465333,0.001020387750354651,0.8790649210330288,0.035452373693152864,0.12089213955465333,0.7921966171728786,4.293941231777756e-05,0.1723510091339685
270.0,989.6582096999919,2.3592770331291755,0.0,0.00018991746033495844,0.005992145394171189,7.69765685801523e-06,0.824369568622933,0.023592770331291757,-52655441.7366584,54706000.0,5960.335807800229,8707.516134810165,2551.716486026562,4413.788996959464,0.50067954490984,0.497203209266484,221.52884106211178,120.90218802803145,217.2433256446139,2.9718179327898827e-13,4574584.902355942,1.6427322999807075,76.0,12.0,10.0,2.0,16.0,100.0,1200.0,0.07692307692307693,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.20761505150403536,n-Butane,0.11987175180429868,0.12112283133847414,0.001251079534175456,0.8788339913272883,0.03528059294852985,0.12112283133847414,0.7921649837635698,4.317733423760011e-05,0.1725544232879003
