time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Pressure_ctrl_SP_psia,Pressure_ctrl_error_psia,Composition_ctrl_component,Composition_ctrl_SP_molfrac,Composition_ctrl_PV_molfrac,Composition_ctrl_error_molfrac,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,10.689805700007128,1.6772516251139755,0.0,2.187036148852556e-05,7.364650582530885e-05,3.040223615080606e-07,0.05880317187620676,0.016772516251139756,-50894747.939400405,54706000.0,5952.481519801446,8473.851672788851,2640.4183192471583,4622.361328243604,0.5016655690931384,0.4999849371362297,221.32096791212322,120.73369693922908,216.9586411354428,3.024508620739698e-13,4736078.887255671,10.686821200011764,42.0,10.0,8.0,1.0,16.0,100.0,1000.0,0.09090909090909091,221.32122601060775,-0.0002580984845224066,n-Butane,0.11987175180429868,0.1198720553851038,3.0358080511938557e-07,0.8800859548808222,0.03613062305692951,0.1198720553851038,0.7923714502457501,4.19897340740378e-05,0.1714979266973204
1.0,11.724889900011476,1.6776509343146524,0.0,2.187684864195864e-05,7.354741353537975e-05,3.040956106925563e-07,0.058608858918432816,0.016776509343146524,-50894708.957860895,54706000.0,5952.482281201848,8473.848464436192,2640.4475265201386,4622.360643533129,0.501661411930189,0.4999849811983165,221.3208390483052,120.73366016552231,216.9586079889184,4.4959250731281383e-13,4736005.6796965785,1.0254876999824774,41.0,9.0,6.0,1.0,16.0,100.0,900.0,0.1,221.32122601060775,-0.00038696230254231523,n-Butane,0.11987175180429868,0.11987220728556798,4.5548126929861876e-07,0.8800858027963923,0.03613051453161952,0.11987220728556798,0.7923714609214212,4.198991803972377e-05,0.17149802454695928
2.0,13.269968700013123,1.6782448209853018,0.0,2.1886691922115832e-05,7.340924210552657e-05,3.042514731393149e-07,0.05819230702756093,0.01678244820985302,-50894630.77193472,54706000.0,5952.483806990199,8473.841462238994,2640.50535780254,4622.359313458685,0.5016530942728549,0.49998506983291247,221.32058165018452,120.7335867562802,216.95854180045615,8.88523887952529e-13,4735859.485355773,0.7376879999937955,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.0006443604232231337,n-Butane,0.11987175180429868,0.11987251130395372,7.59499655042517e-07,0.8800854984099239,0.036130297468406354,0.11987251130395372,0.7923714824058373,4.199028612231832e-05,0.17149822012575622
3.0,14.758773200010182,1.679028230410235,0.0,2.189959253215965e-05,7.323301470307797e-05,3.043902617030436e-07,0.05781778619373277,0.01679028230410235,-50894552.28321074,54706000.0,5952.485336746054,8473.834089188727,2640.5624111832353,4622.358038135657,0.5016447721878656,0.49998515920490544,221.32032467057238,120.7335135232655,216.95847576305013,3.3284933819855833e-13,4735713.355106513,0.73980389998178,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.0009013400353694578,n-Butane,0.11987175180429868,0.11987281560870551,1.0638044068284058e-06,0.880085193736891,0.03613008039414026,0.11987281560870551,0.7923715040703828,4.19906544035116e-05,0.171498415535477
4.0,16.808465600013733,1.6798015298766544,0.0,2.1912383044772587e-05,7.306041553079012e-05,3.045243924815784e-07,0.057452500577815764,0.016798015298766546,-50894473.48969752,54706000.0,5952.4868704503215,8473.826550020261,2640.6186866092753,4622.356818864977,0.5016364457116647,0.499985249343135,221.3200681005422,120.73344046284997,216.9584098828215,1.4071940895787882e-12,4735567.231279877,0.9973214000056032,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,221.32122601060775,-0.0011579100655580987,n-Butane,0.11987175180429868,0.11987312019553291,1.368391234227162e-06,0.8800848887815874,0.03612986331370596,0.11987312019553291,0.7923715259162948,4.199102287968253e-05,0.17149861076999923
5.0,18.466620699997293,1.680564730133521,0.0,2.192504808017178e-05,7.288866287069595e-05,3.046571036319204e-07,0.05708783459464501,0.01680564730133521,-50894394.39164499,54706000.0,5952.488408083953,8473.818917484374,2640.674184127394,4622.355656269311,0.5016281148897023,0.49998534025798813,221.3198119386543,120.7333675741871,216.95834416224452,1.1479504935153855e-12,4735421.14188409,0.7100418000190984,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.0014140719534339041,n-Butane,0.11987175180429868,0.11987342506016017,1.673255861492362e-06,0.8800845835482927,0.03612964623101854,0.11987342506016017,0.7923715479438658,4.199139154722232e-05,0.1714988058251156
6.0,20.11860320001142,1.681317838308609,0.0,2.1937582177964213e-05,7.271676884101907e-05,3.04789215466131e-07,0.05672157813660136,0.01681317838308609,-50894314.99010032,54706000.0,5952.489949627951,8473.811217467492,2640.7289038230624,4622.354550728915,0.501619779770629,0.49998543195324935,221.31955618612267,120.73329485741826,216.9582786025014,4.648271044730198e-13,4735274.919477169,0.942637999978615,40.0,8.0,7.0,1.0,16.0,100.0,800.0,0.1111111111111111,221.32122601060775,-0.0016698244850772426,n-Butane,0.11987175180429868,0.11987373019833042,1.978394031737496e-06,0.8800842780412671,0.03612942914961469,0.11987373019833042,0.7923715701530409,4.199176040253104e-05,0.1714990006973443
7.0,21.62918830002309,1.6820608601087226,0.0,2.1949983405588085e-05,7.254438482107162e-05,3.0492090227022627e-07,0.05635324243933761,0.016820608601087226,-50894235.28639459,54706000.0,5952.491495063389,8473.803459251465,2640.782845798807,4622.353502535816,0.5016114404042323,0.49998552443030436,221.3193008450965,120.73322231303344,216.95821320431875,5.293145448386733e-13,4735128.846235056,0.7545124000171199,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.001925165511238447,n-Butane,0.11987175180429868,0.11987403560580623,2.28380150754659e-06,0.8800839722647518,0.036129212072865576,0.11987403560580623,0.7923715925436303,4.199212944201551e-05,0.171499195383504
8.0,23.192877800000133,1.6827938007593697,0.0,2.1962251084940577e-05,7.237138952120858e-05,3.05052145475964e-07,0.05598285823273721,0.016827938007593697,-50894155.281961516,54706000.0,5952.493044371393,8473.79564613401,2640.836010166486,4622.352511948905,0.5016030968406973,0.49998561768963856,221.3190459180538,120.73314994164392,216.9581479682644,1.0139577476711495e-12,4734982.571562221,0.7487952999945264,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.002180092553942359,n-Butane,0.11987175180429868,0.11987434127836911,2.5894740704329733e-06,0.8800836662229689,0.036128995004054996,0.11987434127836911,0.7923716151153856,4.1992498662088375e-05,0.1714993898805596
9.0,24.94045720002032,1.683516665279787,0.0,2.1974384971821792e-05,7.219773993938361e-05,3.0518287035523833e-07,0.05561061145386059,0.01683516665279787,-50894074.978270054,54706000.0,5952.494597533144,8473.787779404638,2640.8883970446086,4622.35157921358,0.5015947491303556,0.4999857117313669,221.3187914075758,120.73307774390398,216.95808289485367,7.184612465764218e-13,4734836.345065689,0.7947148999955971,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.0024346030319577494,n-Butane,0.11987175180429868,0.11987464721181822,2.895407519534765e-06,0.8800833599201228,0.03612877794640954,0.11987464721181822,0.7923716378680252,4.199286805916685e-05,0.1714995841855652
