time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,8.54197760001989,0.5987404417032024,0.0,7.610142611792773e-06,0.0001333531685077105,1.821653650702082e-07,0.5083743577297355,0.005987404417032024,-50894825.691564746,54706000.0,5952.48,8464.43507696613,2470.6137466846462,4629.592379233849,0.49347565726261894,0.500066283457938,221.08952028983848,120.67097238906227,216.8968060577,1.4288026963496858e-12,4592826.485164205,8.53991490000044,41.0,9.0,9.0,1.0,16.0,100.0,900.0,0.1,0.8797666600901919,0.03593070648228814,0.12019108245003969,0.7924416727145838,4.2257459768398645e-05,0.17162762080312824
60.0,105.44957440000144,0.7988958800354354,1.0,1.0287864353644443e-05,0.0001288878016517063,0.0,0.0,0.007988958800354355,-50894825.691564746,54706000.0,5952.48,8463.363430788737,2441.6521498047578,4630.611243677708,0.49370913039486003,0.5000619620210823,221.10392836392847,120.67609899065958,216.90100087072335,5.041060502976381e-13,4597686.416111695,1.1171515999885742,42.0,10.0,8.0,1.0,16.0,100.0,1000.0,0.09090909090909091,0.8797698002587908,0.035938771128506575,0.12018794590098363,0.79244552047957,4.225384022554189e-05,0.17161570839192347
120.0,211.12531120001222,1.1730905463704684,0.0,1.5293322866193864e-05,0.00011851088357891133,0.0,0.0,0.011730905463704684,-50894825.691564746,54706000.0,5952.48,8462.432217393283,2415.274822541758,4631.514503712356,0.4940560735542214,0.5000566624226385,221.12126060508774,120.68196479178283,216.90590248740554,4.2091522822487035e-12,4604478.422040995,0.8466046999965329,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,0.8797777062702837,0.035949721165452,0.12018004884878085,0.7924484868015065,4.224488093543544e-05,0.1716017920330414
180.0,319.71538830001373,1.5087544032517863,0.0,1.977569118169166e-05,0.00010708848567707226,0.0,0.0,0.015087544032517865,-50894825.691564746,54706000.0,5952.48,8461.659047248944,2392.044382734688,4632.285166931069,0.4945030854256379,0.5000506243897095,221.14095532942832,120.68839010092346,216.91136249750602,7.828380300354288e-13,4612970.654362961,0.7918016000185162,38.0,6.0,6.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.8797899766654023,0.035963138758455804,0.12016779219996665,0.792450508827367,4.22311346310938e-05,0.17158635241417713
240.0,426.03580090001924,1.8005173271131392,0.0,2.3661900619124023e-05,0.0001140545737946752,0.0,0.0,0.01800517327113139,-50894825.691564746,54706000.0,5952.48,8461.048591061837,2372.1954081435965,4632.918447676257,0.4950371289873833,0.5000440405155177,221.16254211382682,120.69523337535114,216.91726145600154,3.009186895204036e-13,4622929.828361572,0.7967640999995638,38.0,6.0,6.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.8798061523074366,0.03597863517490883,0.12015163448244473,0.7924515801022283,4.2213210118665696e-05,0.1715697847228629
300.0,530.4170684000128,2.045632340903889,0.0,2.6915644367919956e-05,0.00011867435848742503,0.0,0.0,0.02045632340903889,-50894825.691564746,54706000.0,5952.48,8460.602527871286,2355.8940069073656,4633.412251713973,0.49564435041169874,0.5000370841892868,221.1855427981482,120.70235383686038,216.92347879916446,8.655157634398098e-13,4634109.1497306395,0.7994050999986939,38.0,6.0,6.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.8798257246303809,0.035995805145694164,0.12013208360862658,0.7924517133319361,4.219176099259242e-05,0.17155248152236974
