time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Pressure_ctrl_SP_psia,Pressure_ctrl_error_psia,Composition_ctrl_component,Composition_ctrl_SP_molfrac,Composition_ctrl_PV_molfrac,Composition_ctrl_error_molfrac,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,9.304201799997827,1.6847577625850418,0.0,2.1995180374248464e-05,7.189226928971948e-05,3.0674977025135775e-07,0.05102656911458325,0.01684757762585042,-50893953.964870445,54706000.0,5952.496934460505,8473.775879787825,2640.9655198418554,4622.350289103046,0.5015822198997831,0.4999858542607744,221.31841042864062,120.73296977434518,216.95798559078378,2.1770469572227432e-13,4734616.903408487,9.301557400001911,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.0028155819671269455,n-Butane,0.11987175180429868,0.11987510659200562,3.3547877069384224e-06,0.8800828999855156,0.03612845238782613,0.11987510659200562,0.7923716723354766,4.199342247884281e-05,0.17149987527669724
30.0,59.0605668000062,1.6937700573190508,0.0,2.2159874382421684e-05,6.916879089872208e-05,3.0989261757696316e-07,0.03949417696520783,0.01693770057319051,-50891445.29936727,54706000.0,5952.544555925625,8473.518213476049,2642.127642281148,4622.352528902152,0.5013341881002652,0.4999890113783389,221.31112213080067,120.73092929501367,216.95614901965035,2.089915836372039e-13,4730293.836696517,0.8670130000100471,39.0,7.0,7.0,1.0,16.0,100.0,700.0,0.125,221.32122601060775,-0.010103879807076055,n-Butane,0.11987175180429868,0.11988423826449812,1.2486460199440108e-05,0.8800737573477774,0.03612207099989308,0.11988423826449812,0.7923724306702281,4.2004387724606645e-05,0.17150549832987894
60.0,108.98500789998798,1.7057313303484076,0.0,2.2393136022508253e-05,6.361311704949912e-05,3.138810826327128e-07,0.016469330111461507,0.017057313303484076,-50888670.31584524,54706000.0,5952.595898254163,8473.212474348518,2642.621722184492,4622.411782325254,0.5010796952326123,0.49999288219382176,221.30415240157598,120.72902702048974,216.95444056172533,9.481764727047068e-13,4725897.146658148,0.7065261999960057,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.01707360903176891,n-Butane,0.11987175180429868,0.11989364348978447,2.1891685485789236e-05,0.8800643409152984,0.03611567301708556,0.11989364348978447,0.7923733484709218,4.201559491717653e-05,0.17151097851199257
90.0,154.75398759997915,1.7090256332433502,0.0,2.2508972750105677e-05,6.191646410987535e-05,3.145532948297299e-07,0.006327507956484624,0.017090256332433502,-50885710.82416283,54706000.0,5952.649698007643,8472.866760323695,2642.4318969457972,4622.531606447264,0.5008242678000862,0.49999734605587626,221.2976867098079,120.72731336098376,216.95290423540678,3.858350972669397e-13,4721522.819693214,0.8157183000002988,38.0,6.0,6.0,1.0,16.0,100.0,600.0,0.14285714285714285,221.32122601060775,-0.02353930079985389,n-Butane,0.11987175180429868,0.11990306891904526,3.131711474657628e-05,0.8800549043164535,0.03610943730158273,0.11990306891904526,0.7923743953331737,4.2026764501240824e-05,0.17151616736524367
120.0,200.08009069997934,1.7036991888197757,0.0,2.250596918321937e-05,5.978388935924765e-05,3.120876325479749e-07,0.028672435872219165,0.017036991888197756,-50882608.638033934,54706000.0,5952.70547799992,8472.485552104517,2641.5717238696307,4622.713787581027,0.5005692387613709,0.5000023141180864,221.29177593700933,120.72580036765794,216.95154898980226,1.4209708770946282e-13,4717192.791952091,0.9704635000089183,40.0,8.0,8.0,1.0,16.0,100.0,800.0,0.1111111111111111,221.32122601060775,-0.029450073598411564,n-Butane,0.11987175180429868,0.11991242050911835,4.0668704819668555e-05,0.8800455416874771,0.03610343148451218,0.11991242050911835,0.7923755513096682,4.2037803404537936e-05,0.17152101720581972
150.0,268.13271429997985,1.6899875716690729,0.0,2.2385841650780164e-05,5.717879759193541e-05,3.066667300137086e-07,0.05044078520689557,0.01689987571669073,-50879405.60958163,54706000.0,5952.76276560627,8472.073546760103,2640.058500313424,4622.959217938232,0.5003159175341114,0.5000076956008783,221.28646329189047,120.7244976415476,216.9503807048287,3.4416554722926533e-13,4712928.450774836,0.9915318999846932,40.0,8.0,6.0,1.0,16.0,100.0,800.0,0.1111111111111111,221.32122601060775,-0.034762718717274765,n-Butane,0.11987175180429868,0.1199216096935887,4.9857889290017e-05,0.8800363416855767,0.03609772168973319,0.1199216096935887,0.7923767977491011,4.204862083473014e-05,0.17152548056116573
180.0,318.8310715999978,1.6681588476998712,0.0,2.215093992861209e-05,5.4096517927367435e-05,2.984661968463698e-07,0.07151440217310968,0.016681588476998712,-50876143.26039883,54706000.0,5952.821093041027,8471.635591892778,2637.9130682482305,4623.266850557756,0.5000655827980852,0.5000133726553758,221.28178435916558,120.723412335691,216.9494027968033,1.1982270334467121e-12,4708750.2290003225,0.7670540999970399,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.03944165144216072,n-Butane,0.11987175180429868,0.1199305531713437,5.8801367045016595e-05,0.8800273876996713,0.03609236998694476,0.1199305531713437,0.7923781171498564,4.2059128985028447e-05,0.1715295128631988
210.0,368.40990699999384,1.6384937840732252,0.0,2.1804233315612148e-05,5.0574187960705784e-05,2.8766229381120094e-07,0.09178246954455366,0.016384937840732253,-50872862.44737322,54706000.0,5952.879998766015,8471.176651866923,2635.159594161894,4623.6327566844475,0.4998194756861882,0.5000191845014001,221.2777672467408,120.72254921065218,216.94861702450007,2.8502522442152836e-12,4704677.457620241,0.6490103999967687,36.0,4.0,4.0,1.0,16.0,100.0,400.0,0.2,221.32122601060775,-0.043458763866937034,n-Butane,0.11987175180429868,0.11993917292536323,6.742112106454534e-05,0.8800187578308569,0.036087431153384496,0.11993917292536323,0.7923794926097825,4.206924377988214e-05,0.17153307623683303
240.0,416.66981669998495,1.6012795747435193,0.0,2.1349287318952117e-05,5.605243097477342e-05,2.744363645446057e-07,0.11114221526665156,0.016012795747435193,-50869603.06337023,54706000.0,5952.939029587223,8470.701757686767,2631.8253277038943,4624.050575161007,0.4995787934069985,0.5000249482097591,221.27443281516804,120.7219107303759,216.94802371747653,6.317658162538005e-13,4700728.205210471,0.952489700022852,40.0,8.0,8.0,1.0,16.0,100.0,800.0,0.1111111111111111,221.32122601060775,-0.046793195439704505,n-Butane,0.11987175180429868,0.11994739637443973,7.56445701410452e-05,0.8800105247399206,0.03608295194540432,0.11994739637443973,0.7923809079823634,4.207888563965015e-05,0.1715361400722323
270.0,476.2220344999805,1.5568173176849476,0.0,2.0790237129809738e-05,6.17243597758943e-05,2.5897725045576083e-07,0.12949952984993918,0.015568173176849475,-50866403.75491588,54706000.0,5952.997743162512,8470.215940284983,2627.940341808396,4624.512434144585,0.4993446832686683,0.5000304856082262,221.2717949221071,120.72149716898561,216.9476217303381,3.9442377563665256e-13,4696919.611215635,0.9977126000158023,41.0,9.0,7.0,1.0,16.0,100.0,900.0,0.1,221.32122601060775,-0.04943108850065414,n-Butane,0.11987175180429868,0.1199551565973576,8.340479305891935e-05,0.8800027554224069,0.03607897168395508,0.1199551565973576,0.7923823479479081,4.208798023547966e-05,0.17153868036813674
300.0,525.6579188999895,1.5054298416288,0.0,2.0131756417533875e-05,6.818849372128474e-05,2.4148223770984837e-07,0.1467694755971782,0.015054298416288,-50863301.650452234,54706000.0,5953.055710712508,8469.724168637438,2623.537257540481,4625.0096470214185,0.4991182371175379,0.50003563873141,221.26986066054727,120.721306717436,216.94740843996485,3.864479662883662e-13,4693267.584626838,0.8128646000113804,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,221.32122601060775,-0.05136535006047893,n-Butane,0.11987175180429868,0.11996239258552209,9.064078122340835e-05,0.8799955109552756,0.03607552275422602,0.11996239258552209,0.7923837977926461,4.2096459202306285e-05,0.17154067945312776
