time_s,stage,volume,node_type,T_F,P_psia_hyd,ML_lbmol,MV_lbmol,L_out_used_lbmolph,V_out_lbmolph,x_n-Propane,y_n-Propane,x_n-Butane,y_n-Butane,x_n-Pentane,y_n-Pentane
0.5,1,reflux_drum,reflux_drum,120.73296977434518,221.31841042864062,1649.6040545251542,119.92994151359626,,,0.8800828999855156,0.9462390125729292,0.11987510659200562,0.05375131684013597,4.199342247884281e-05,9.670586934893007e-06
0.5,2,rectifying_volume_1,tray,130.20316655370647,221.36597352282632,38.01482421995067,49.48832498918626,5659.983575333054,8473.775879787825,0.755844614089454,0.8799315319772562,0.24398949800290942,0.12002624562908017,0.00016588790763646602,4.222239366378804e-05
0.5,3,rectifying_volume_2,tray,141.26596743515742,221.41515660876416,34.28178054346894,12.8076381528958,5439.292116070591,8181.023427277007,0.6236480480822932,0.793948656897463,0.3759054331951709,0.20592335589346403,0.0004465187225360725,0.00012798720907305662
0.5,4,rectifying_volume_3,tray,151.6268570324332,221.46419116240293,33.350469914621165,12.58875524207682,5314.109639653548,7960.261489974713,0.5110911617428668,0.7046507814416192,0.48791371096690506,0.2950304444008774,0.0009951272902281373,0.00031877415750345155
0.5,5,rectifying_volume_4,tray,159.65671466353194,221.5135174330577,32.77201234507908,12.43267891092676,5256.822218636663,7835.00769174804,0.4305409004377714,0.6295772695416544,0.5674836500095886,0.3697337440505335,0.001975449552640071,0.0006889864078120841
0.5,6,rectifying_volume_5,tray,165.11959459982188,221.56317703765706,32.374969426269715,12.338367112834883,5232.210116221541,7777.655286621112,0.37901218627458755,0.5759834993805312,0.617331837545958,0.4226669191208786,0.0036559761794545636,0.0013495814985903549
0.5,7,rectifying_volume_6,tray,168.59868700632137,221.61318185654636,32.16026565403915,12.279577552057068,5218.251765438371,7752.985511590255,0.3480116076686236,0.5416506945616812,0.6454962858100767,0.45586719447011054,0.006492106521299658,0.002482110968208206
0.5,8,rectifying_volume_7,tray,170.82565576200085,221.66342618443747,32.0208023976091,12.242312898539494,5203.855488751582,7738.975317145518,0.3297513325227693,0.5210249849260643,0.6589993998322238,0.4745821324337815,0.01124926764500685,0.004392882640154197
0.5,9,rectifying_volume_8,tray,172.40870450064628,221.71374885376176,31.87038377180988,12.217181534882618,5182.396674920062,7724.531225025371,0.3187180258928786,0.5090328752634148,0.6620899632657484,0.48337265996329254,0.019192010841372932,0.007594464773292522
0.5,10,rectifying_volume_9,tray,173.81904231210035,221.76400133398118,31.66725256746385,12.195132904732747,5147.535761240938,7703.027234286919,0.31131321387929256,0.5020985260242283,0.6563247753601301,0.4849726829978482,0.032362010760577334,0.012928790977923483
0.5,11,rectifying_volume_10,tray,175.46291914269233,221.81407832837698,31.395162820499465,12.166101517081806,5091.001407416087,7668.122964788818,0.30512714406774066,0.4979520870167585,0.6409403703450531,0.48030577996737617,0.05393248558720631,0.02174213301586533
0.5,12,feed_tray,tray,177.7701698896852,221.88906674242187,45.875246593087894,10.948871459617482,12232.040054639845,7611.546762708205,0.2983520317644268,0.49519254438581967,0.6131615834862273,0.46871581452744293,0.08848638474934595,0.036091641086737555
0.5,13,stripping_volume_1,tray,181.25346625381175,221.96471854434822,45.68314362154658,10.895627186716407,12252.814001698078,7609.552176600964,0.26986328942281035,0.4578648842734206,0.6402924871815353,0.5041757583643557,0.08984422339565426,0.037959357362223646
0.5,14,stripping_volume_2,tray,185.43083317605812,222.04141213054208,45.50647225372728,10.830642805779542,12289.838131269544,7630.263315347864,0.23647553475133642,0.4116706758138155,0.6720928090410125,0.5480506848387439,0.09143165620765108,0.04027863934744075
0.5,15,stripping_volume_3,tray,190.1726396674359,222.1193714791112,45.299868123697294,10.76187218894546,12346.724987431535,7667.222140802094,0.19960048070909348,0.35745328205965354,0.7071105409730354,0.5994827515495894,0.09328897831787118,0.04306396639075707
0.5,16,stripping_volume_4,tray,195.24494435698278,222.1889283907484,53.470153103397834,12.138858931428107,12422.13803392625,7724.04283176191,0.16138632306970274,0.2976012520151897,0.7429317504878116,0.6560080346176567,0.09568192644248566,0.046390713367153474
0.5,17,stripping_volume_5,tray,200.39409372205762,222.25986055941755,53.171293922019395,12.065799690439276,12508.079839825406,7799.382537146164,0.12424411532070279,0.23576941023677547,0.7762209289032354,0.713573061200535,0.0995349557760619,0.05065752856268953
0.5,18,stripping_volume_6,tray,205.4781087376006,222.33277394019282,53.20312118822327,11.968233805975853,12585.940343465807,7885.253306951085,0.09024701130607984,0.17602293999130272,0.8022826929638167,0.7667146759310247,0.10747029573010339,0.057262384077672514
0.5,19,stripping_volume_7,tray,210.6959820091355,222.40703503319736,52.76753723937163,11.900506494240897,12621.468826506423,7963.045537184805,0.0607111532989423,0.12176751496701997,0.8131005830232538,0.8080121590278336,0.1261882636778038,0.07022032600514638
0.5,20,combined_reboiler_sump,reboiler_sump,216.95798559078378,222.43233646174204,757.9523393453677,77.35207774154361,,7998.507787785817,0.03612845238782613,0.07500937895910346,0.7923716723354766,0.8250652068085885,0.17149987527669724,0.09992541423230797
30.0,1,reflux_drum,reflux_drum,120.73092929501367,221.31112213080067,1648.5427693536471,120.00391977280022,,,0.8800737573477774,0.9462353042774995,0.11988423826449812,0.05375502278151892,4.2004387724606645e-05,9.672940981586011e-06
30.0,2,rectifying_volume_1,tray,130.20222693885023,221.35868500907816,38.01494747923428,49.4863447047098,5660.009215544524,8473.518213476049,0.755821326108665,0.8799194292898874,0.24401273531253884,0.12003833557510282,0.00016593857879599938,4.2235135009865976e-05
30.0,3,rectifying_volume_2,tray,141.26601846514941,221.4078680047144,34.281820935824925,12.807104534234863,5439.312089807765,8180.766875035908,0.6236147315052764,0.7939269389737239,0.37593862173289505,0.2059450359013522,0.00044664676182874547,0.0001280251249237451
