case,time_min,feed_kmol_min,x_bottom,x_feed,x_top,M_bottom_kmol,M_feed_kmol,M_top_kmol,distillate_light_kmol_min,bottoms_light_kmol_min,total_inventory_kmol,light_inventory_kmol,max_abs_x_v2_minus_reference,max_abs_M_v2_minus_reference_kmol
nominal_profile_drift,0.0,1.0,0.01,0.49872493204438,0.99,0.5,0.5,0.5,0.495,0.005,20.5,10.252526848610952,0.0,0.0
nominal_profile_drift,10.0,1.0,0.0100000229885878,0.4987249267901566,0.9899999799299278,0.5,0.5,0.5,0.4949999899649639,0.0050000114942939,20.5,10.252526835477873,1.3465895065678524e-12,0.0
nominal_profile_drift,20.0,1.0,0.010000032720112599,0.4987249319373598,0.9899999685123755,0.5,0.5,0.5,0.49499998425618774,0.005000016360056299,20.5,10.25252682525718,1.216249323476859e-12,0.0
nominal_profile_drift,30.0,1.0,0.010000036901671536,0.4987249346128294,0.9899999633802032,0.5,0.5,0.5,0.4949999816901016,0.005000018450835768,20.5,10.252526821779577,4.990452495690079e-13,0.0
nominal_profile_drift,40.0,1.0,0.010000038728267381,0.4987249358685153,0.9899999611392044,0.5,0.5,0.5,0.4949999805696022,0.005000019364133691,20.5,10.252526821554456,2.3292479056635784e-13,0.0
nominal_profile_drift,50.0,1.0,0.010000039531763871,0.4987249364813262,0.9899999601670818,0.5,0.5,0.5,0.4949999800835409,0.005000019765881936,20.5,10.252526822703855,1.0114131754335176e-13,0.0
nominal_profile_drift,60.0,1.0,0.010000039888954116,0.4987249368093738,0.9899999597485349,0.5,0.5,0.5,0.49499997987426747,0.005000019944477058,20.5,10.252526824391234,4.118927421359331e-14,0.0
nominal_profile_drift,70.0,1.0,0.010000040051170635,0.4987249370101086,0.9899999595711718,0.5,0.5,0.5,0.4949999797855859,0.005000020025585318,20.5,10.252526826253714,1.84297022087776e-14,0.0
nominal_profile_drift,80.0,1.0,0.010000040128030276,0.49872493715241734,0.9899999594987386,0.5,0.5,0.5,0.4949999797493693,0.005000020064015138,20.5,10.25252682813596,8.43769498715119e-15,0.0
nominal_profile_drift,90.0,1.0,0.01000004016735584,0.49872493726649236,0.9899999594718217,0.5,0.5,0.5,0.49499997973591087,0.00500002008367792,20.5,10.252526829973059,4.218847493575595e-15,0.0
nominal_profile_drift,100.0,1.0,0.010000040190020541,0.4987249373656405,0.9899999594645205,0.5,0.5,0.5,0.49499997973226023,0.0050000200950102705,20.5,10.252526831739406,3.774758283725532e-15,0.0
nominal_profile_drift,110.0,1.0,0.010000040205143411,0.49872493745579805,0.9899999594655489,0.5,0.5,0.5,0.49499997973277443,0.0050000201025717055,20.5,10.252526833426403,2.9976021664879227e-15,0.0
nominal_profile_drift,120.0,1.0,0.010000040216712438,0.49872493753967595,0.9899999594700005,0.5,0.5,0.5,0.49499997973500026,0.005000020108356219,20.5,10.252526835032734,4.107825191113079e-15,0.0
nominal_profile_drift,130.0,1.0,0.010000040226480841,0.4987249376185755,0.9899999594757448,0.5,0.5,0.5,0.4949999797378724,0.0050000201132404205,20.5,10.252526836560136,5.440092820663267e-15,0.0
nominal_profile_drift,140.0,1.0,0.010000040235227166,0.4987249376931778,0.989999959481861,0.5,0.5,0.5,0.4949999797409305,0.005000020117613583,20.5,10.252526838011567,2.4424906541753444e-15,0.0
nominal_profile_drift,150.0,1.0,0.010000040243302531,0.4987249377638866,0.9899999594879579,0.5,0.5,0.5,0.49499997974397897,0.0050000201216512654,20.5,10.252526839390407,1.3322676295501878e-15,0.0
nominal_profile_drift,160.0,1.0,0.010000040250871174,0.49872493783097926,0.989999959493874,0.5,0.5,0.5,0.494999979746937,0.005000020125435587,20.5,10.252526840700112,8.881784197001252e-16,0.0
nominal_profile_drift,170.0,1.0,0.010000040258015498,0.49872493789467315,0.9899999594995472,0.5,0.5,0.5,0.4949999797497736,0.005000020129007749,20.5,10.252526841944073,8.881784197001252e-16,0.0
nominal_profile_drift,180.0,1.0,0.01000004026478159,0.49872493795515427,0.9899999595049596,0.5,0.5,0.5,0.4949999797524798,0.005000020132390795,20.5,10.252526843125551,6.661338147750939e-16,0.0
nominal_profile_drift,190.0,1.0,0.01000004027119934,0.49872493801259105,0.9899999595101107,0.5,0.5,0.5,0.49499997975505533,0.00500002013559967,20.5,10.252526844247676,3.3306690738754696e-16,0.0
nominal_profile_drift,200.0,1.0,0.010000040277290932,0.4987249380671394,0.989999959515007,0.5,0.5,0.5,0.4949999797575035,0.005000020138645466,20.5,10.252526845313419,4.440892098500626e-16,0.0
nominal_profile_drift,210.0,1.0,0.010000040283074838,0.4987249381189459,0.9899999595196592,0.5,0.5,0.5,0.4949999797598296,0.005000020141537419,20.5,10.252526846325612,4.440892098500626e-16,0.0
nominal_profile_drift,220.0,1.0,0.010000040288567446,0.4987249381681489,0.989999959524079,0.5,0.5,0.5,0.4949999797620395,0.005000020144283723,20.5,10.252526847286955,4.440892098500626e-16,0.0
nominal_profile_drift,230.0,1.0,0.010000040293783744,0.49872493821487934,0.9899999595282768,0.5,0.5,0.5,0.4949999797641384,0.005000020146891872,20.5,10.252526848199984,7.771561172376096e-16,0.0
nominal_profile_drift,240.0,1.0,0.010000040298737816,0.49872493825926156,0.9899999595322639,0.5,0.5,0.5,0.49499997976613197,0.005000020149368908,20.5,10.252526849067136,4.440892098500626e-16,0.0
nominal_profile_drift,250.0,1.0,0.010000040303442882,0.4987249383014134,0.9899999595360506,0.5,0.5,0.5,0.4949999797680253,0.005000020151721441,20.5,10.252526849890717,4.440892098500626e-16,0.0
nominal_profile_drift,260.0,1.0,0.01000004030791149,0.49872493834144743,0.9899999595396474,0.5,0.5,0.5,0.4949999797698237,0.005000020153955745,20.5,10.252526850672915,5.551115123125783e-16,0.0
nominal_profile_drift,270.0,1.0,0.010000040312155569,0.49872493837946963,0.9899999595430629,0.5,0.5,0.5,0.49499997977153143,0.005000020156077784,20.5,10.252526851415805,4.440892098500626e-16,0.0
nominal_profile_drift,280.0,1.0,0.01000004031618638,0.4987249384155815,0.9899999595463074,0.5,0.5,0.5,0.4949999797731537,0.00500002015809319,20.5,10.252526852121372,7.771561172376096e-16,0.0
nominal_profile_drift,290.0,1.0,0.010000040320014645,0.49872493844987853,0.9899999595493884,0.5,0.5,0.5,0.4949999797746942,0.0050000201600073225,20.5,10.252526852791478,6.661338147750939e-16,0.0
nominal_profile_drift,300.0,1.0,0.010000040323650537,0.4987249384824523,0.9899999595523149,0.5,0.5,0.5,0.49499997977615745,0.0050000201618252684,20.5,10.252526853427916,3.3306690738754696e-16,0.0
nominal_profile_drift,310.0,1.0,0.010000040327103733,0.4987249385133893,0.9899999595550942,0.5,0.5,0.5,0.4949999797775471,0.0050000201635518665,20.5,10.252526854032377,7.771561172376096e-16,0.0
nominal_profile_drift,320.0,1.0,0.010000040330383419,0.498724938542772,0.9899999595577337,0.5,0.5,0.5,0.49499997977886684,0.005000020165191709,20.5,10.25252685460646,5.551115123125783e-16,0.0
