case,time_sec,temperature_F,internal_energy_BTU,N_npropane_lbmol,x_npropane,y_npropane,N_nbutane_lbmol,x_nbutane,y_nbutane,N_npentane_lbmol,x_npentane,y_npentane
nominal_no_disturbance,0.0,179.654,-256558.69859176135,15.827224488456032,0.3099600619920124,0.5058239549847355,30.93927248257306,0.6059141211828242,0.4598119408025804,4.295644347241432,0.08412581682516337,0.03436410421268411
nominal_no_disturbance,2.0,179.654,-256558.69859176135,15.827224488456032,0.3099600619920124,0.5058239549847355,30.93927248257306,0.6059141211828242,0.4598119408025804,4.295644347241432,0.08412581682516337,0.03436410421268411
nominal_no_disturbance,4.0,179.654,-256558.69859176135,15.827224488456032,0.3099600619920124,0.5058239549847355,30.93927248257306,0.6059141211828242,0.4598119408025804,4.295644347241432,0.08412581682516337,0.03436410421268411
nominal_no_disturbance,6.0,179.654,-256558.69859176135,15.827224488456032,0.3099600619920124,0.5058239549847355,30.93927248257306,0.6059141211828242,0.4598119408025804,4.295644347241432,0.08412581682516337,0.03436410421268411
nominal_no_disturbance,8.0,179.654,-256558.69859176135,15.827224488456032,0.3099600619920124,0.5058239549847355,30.93927248257306,0.6059141211828242,0.4598119408025804,4.295644347241432,0.08412581682516337,0.03436410421268411
nominal_no_disturbance,10.0,179.654,-256558.69859176135,15.827224488456032,0.3099600619920124,0.5058239549847355,30.93927248257306,0.6059141211828242,0.4598119408025804,4.295644347241432,0.08412581682516337,0.03436410421268411
inlet_composition_step,0.0,179.654,-256558.69859176135,15.827224488456032,0.3099600619920124,0.5058239549847355,30.93927248257306,0.6059141211828242,0.4598119408025804,4.295644347241432,0.08412581682516337,0.03436410421268411
inlet_composition_step,2.0,179.6462759974035,-256558.69437372568,15.835433771009352,0.3101208324246928,0.5060184952565624,30.93106320001973,0.6057533507501437,0.45962280422900553,4.295644347241432,0.08412581682516337,0.034358700514432135
inlet_composition_step,4.0,179.63979689477392,-256558.68316935532,15.842323244526716,0.31025575574242875,0.5061817145976281,30.924173726502364,0.6056184274324078,0.45946411825524436,4.295644347241432,0.08412581682516339,0.03435416714712764
inlet_composition_step,6.0,179.63436205927798,-256558.6674503289,15.848105094953535,0.3103689873907214,0.5063186613953152,30.918391876075543,0.6055051957841151,0.45933097483821816,4.295644347241432,0.08412581682516339,0.0343503637664666
inlet_composition_step,8.0,179.62980322924201,-256558.64896000133,15.852957393767982,0.31046401471799706,0.5064335685741644,30.913539577261094,0.6054101684568395,0.4592192587123132,4.295644347241432,0.08412581682516339,0.0343471727135224
inlet_composition_step,10.0,179.62597923874068,-256558.62899814412,15.857029586182659,0.31054376445644405,0.5065299859322098,30.90946738484642,0.6053304187183924,0.4591255187420608,4.295644347241432,0.08412581682516339,0.03434449532572941
inlet_enthalpy_step,0.0,179.654,-256558.69859176135,15.827224488456032,0.3099600619920124,0.5058239549847355,30.93927248257306,0.6059141211828242,0.4598119408025804,4.295644347241432,0.08412581682516337,0.03436410421268411
inlet_enthalpy_step,2.0,179.75011185489012,-256353.58482913792,15.827224488456032,0.3099600619920124,0.5057591266195189,30.93927248257306,0.6059141211828242,0.4598666133046927,4.295644347241432,0.08412581682516337,0.034374260075788435
inlet_enthalpy_step,4.0,179.83064871234586,-256181.65160255486,15.827224488456032,0.3099600619920124,0.5057047830246765,30.93927248257306,0.6059141211828242,0.4599124415966613,4.295644347241432,0.08412581682516337,0.03438277537866223
inlet_enthalpy_step,6.0,179.8981380017705,-256037.5318306561,15.827224488456032,0.3099600619920124,0.5056592289242751,30.93927248257306,0.6059141211828242,0.4599508562759972,4.295644347241432,0.08412581682516337,0.03438991479972776
inlet_enthalpy_step,8.0,179.95469615838584,-255916.72607549478,15.827224488456032,0.3099600619920124,0.5056210429014291,30.93927248257306,0.6059141211828242,0.45998305666461503,4.295644347241432,0.08412581682516337,0.03439590043395591
inlet_enthalpy_step,10.0,180.00209497110615,-255815.46400692646,15.827224488456032,0.3099600619920124,0.5055890337305928,30.93927248257306,0.6059141211828242,0.460010047738709,4.295644347241432,0.08412581682516337,0.03440091853069804
bounded_combined,0.0,179.94238240630239,-257325.8091005507,15.85504315887345,0.3089600619920125,0.5044506030898664,31.145286297010784,0.6069141211828242,0.46112625320772765,4.317122568977639,0.08412581682516336,0.034423143702405866
bounded_combined,2.0,179.93978379484275,-257323.15008822273,15.85914953873933,0.3090400811610057,0.504546759567291,31.14117991714491,0.6068341020138309,0.4610326584150458,4.317122568977639,0.08412581682516336,0.03442058201766323
bounded_combined,4.0,179.93759792308634,-257320.9157512548,15.862598739154825,0.3091072941709935,0.5046275187776564,31.137730716729415,0.6067668890038431,0.46095405093114483,4.317122568977639,0.08412581682516336,0.03441843029119872
bounded_combined,6.0,179.93576221444758,-257319.03809571135,15.865495937033996,0.3091637505569763,0.5046953457290592,31.134833518850247,0.6067104326178604,0.4608880310856611,4.317122568977639,0.08412581682516336,0.03441662318527978
bounded_combined,8.0,179.93422058698368,-257317.4601839975,15.867929471262368,0.3092111717389008,0.5047523122550169,31.132399984621877,0.6066630114359359,0.4608325822673896,4.317122568977639,0.08412581682516336,0.03441510547759352
bounded_combined,10.0,179.93292601165402,-257316.13400206904,15.86997354685001,0.30925100371626896,0.5048001579987966,31.13035590903422,0.6066231794585677,0.46078601119187146,4.317122568977639,0.08412581682516337,0.03441383080933183
