time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Feed_temperature_step_F,Feed_temperature_F,Feed_enthalpy_BTUph,Feed_enthalpy_delta_BTUph,Pressure_ctrl_SP_psia,Pressure_ctrl_error_psia,Composition_ctrl_component,Composition_ctrl_SP_molfrac,Composition_ctrl_PV_molfrac,Composition_ctrl_error_molfrac,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,9.678746499994304,0.4477872055285533,0.0,6.644820046650287e-06,7.814069829237269e-05,1.3326324227458386e-07,0.2516972970925053,0.004477872055285533,-50844224.29078281,54706000.0,5953.570715188691,8464.897941099396,2544.1076244477727,4630.851699222641,0.4972997404995455,0.500046243958237,221.29656768868227,120.73360018481264,216.95710042852974,8.119499348825828e-13,4635302.826668845,9.675545200007036,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.024658321925471682,n-Butane,0.11987175180429868,0.11999490858439671,0.0001231567800980271,0.8799629560471243,0.03607888887384306,0.11999490858439671,0.7923973583042802,4.213536847899056e-05,0.1715237528218769
15.0,34.959921000001486,0.42244929072083776,0.0,6.308876803829328e-06,7.591835436093381e-05,1.3470687294908374e-07,0.2515613842317784,0.004224492907208378,-50845980.66375081,54706000.0,5953.630231411524,8464.938030825691,2540.460020082333,4630.998066370382,0.4972692690693792,0.5000447004168325,221.2990369529785,120.73444578624748,216.95778515573716,1.6122711298387543e-12,4634859.860229088,0.9875775999971665,41.0,9.0,6.0,1.0,16.0,100.0,900.0,0.1,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.022189057629248055,n-Butane,0.11987175180429868,0.1199939277247636,0.00012217592046491477,0.8799639379443578,0.036080593185901955,0.1199939277247636,0.7923976076211378,4.213433087853713e-05,0.17152179919296023
30.0,60.65262400000938,0.372493675793111,0.0,5.682347900090461e-06,7.214054509177003e-05,1.3571856698967275e-07,0.25132807681811836,0.00372493675793111,-50848256.98243717,54706000.0,5953.685888083362,8465.02258320073,2536.694210408606,4631.129171297821,0.49724158098675775,0.5000427724657133,221.30153738568475,120.73528808920445,216.95845916104184,5.838343515364042e-13,4634443.70422456,0.7987241999944672,38.0,6.0,6.0,1.0,16.0,100.0,600.0,0.14285714285714285,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.01968862492299195,n-Butane,0.11987175180429868,0.1199927431322546,0.00012099132795591327,0.8799651238014368,0.03608243051755902,0.1199927431322546,0.792397823889405,4.2133066308759385e-05,0.17151974559303587
45.0,87.35342709999532,0.32153149002685316,0.0,5.0749753004918215e-06,6.839602894880651e-05,1.3750901369976217e-07,0.250624847493403,0.0032153149002685315,-50850901.86952729,54706000.0,5953.735683481544,8465.141446137903,2532.941274657531,4631.237223533653,0.497217820197922,0.5000404862102056,221.30395574427507,120.73608795997919,216.95908940713466,1.0415687079993331e-12,4634074.024917893,0.7245951000077184,37.0,5.0,5.0,1.0,16.0,100.0,500.0,0.16666666666666666,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.017270266332673145,n-Butane,0.11987175180429868,0.11999139493695306,0.0001196431326543762,0.8799664734467975,0.03608432855763757,0.11999139493695306,0.7923979975198133,4.213161624954875e-05,0.17151767392254924
59.5,112.95254040000145,0.27130206559936715,0.0,4.467801381702573e-06,6.435402748993198e-05,1.3825566590784474e-07,0.24962170546462456,0.0027130206559936713,-50853727.771863,54706000.0,5953.778436358858,8465.28128488521,2529.3304679402304,4631.31801684984,0.4971985996155957,0.5000379310769602,221.30619568574573,120.73681421543972,216.95965115646962,3.6526973151121996e-13,4633764.029279754,0.9981255999882706,41.0,9.0,7.0,1.0,16.0,100.0,900.0,0.1,0.0,nan,-36661427.88636613,0.0,221.32122601060775,-0.015030324862010502,n-Butane,0.11987175180429868,0.11998994618363894,0.00011819437934025567,0.8799679237684758,0.03608620716037896,0.11998994618363894,0.7923981258133261,4.213004788528767e-05,0.17151566702629498
