time_s,wall_elapsed_s,steady_state_score,steady_state_flag,ss_max_rel_state_rate_per_s,ss_max_temp_rate_F_per_s,ss_max_kpi_slope_per_s,ss_max_mv_rate_per_s,ss_global_inventory_rate_frac_feed,Q_cond_used_BTUph,Q_reb_used_BTUph,Reflux_cmd_lbmolph,Boilup_lbmolph,D_lbmolph,B_lbmolph,Top_level_ctrl_pv,Bottom_level_fraction,P_top_drum_psia,T_Distillate_F,T_sump_F,scaled_residual_inf_norm,jacobian_condition,root_wall_s,root_objective_calls,root_nfev,root_njev,root_jacobian_builds,root_color_count,root_memo_hits,root_memo_misses,root_memo_hit_fraction,Feed_temperature_step_F,Feed_temperature_F,Feed_enthalpy_BTUph,Feed_enthalpy_delta_BTUph,Pressure_ctrl_SP_psia,Pressure_ctrl_error_psia,Composition_ctrl_component,Composition_ctrl_SP_molfrac,Composition_ctrl_PV_molfrac,Composition_ctrl_error_molfrac,Distillate_x_n-Propane,Bottoms_x_n-Propane,Distillate_x_n-Butane,Bottoms_x_n-Butane,Distillate_x_n-Pentane,Bottoms_x_n-Pentane
0.5,17.33055539999623,0.656522922321671,0.0,0.001518827621813938,0.024272523540389557,1.6719924401109587e-06,0.5668554406856856,0.0065652292232167096,-50845699.62058799,54706000.0,5953.515994319821,8537.089004949388,2559.2335749547756,4630.635686691498,0.49746973331840383,0.5000645815936695,221.29148744132905,120.73187567665549,216.95702393957768,3.292682593913726e-13,4649512.852543551,17.32833980000578,485.0,69.0,65.0,13.0,16.0,100.0,6900.0,0.014285714285714285,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,-0.029738569278691784,n-Butane,0.11987175180429868,0.11999713574943384,0.00012538394513515738,0.8799607266353977,0.036073631981888316,0.11999713574943384,0.7923966854892824,4.2137615168424244e-05,0.17152968252882922
15.0,83.81180850000237,0.6937214808433011,0.0,0.0007043315108598377,0.015080222983511186,1.7167457594379318e-06,0.5216111555647738,0.006937214808433011,-50874925.659967154,54706000.0,5953.546537131023,8553.138318846195,2556.8507648102773,4638.18716223669,0.49753839475154843,0.5002487282698701,221.38738038843294,120.76771146350728,216.99433587231744,7.609076249508286e-13,4645087.846175227,1.8749018000089563,111.0,15.0,12.0,3.0,16.0,104.0,1496.0,0.065,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.06615437782519962,n-Butane,0.11987175180429868,0.12000018576744848,0.00012843396314979327,0.879957674568519,0.03608893161384673,0.12000018576744848,0.792406290428064,4.213966403246259e-05,0.1715047779580894
30.0,129.0288264999981,0.767063703692266,0.0,0.0002867851631532929,0.008314788218801066,1.7781501202487269e-06,0.5075016426292095,0.0076706370369226595,-50906966.111692175,54706000.0,5953.606003430948,8555.608285622799,2554.536147649471,4645.551354626265,0.49761479127137825,0.5004051945014666,221.4844763961716,120.80438618306079,217.03068936187222,7.993301651606206e-13,4648202.949361335,1.4797886000014842,77.0,13.0,10.0,2.0,16.0,102.0,1298.0,0.07285714285714286,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.16325038556385607,n-Butane,0.11987175180429868,0.12000876618261436,0.0001370143783156752,0.8799490882902895,0.03610889546392821,0.12000876618261436,0.7924140808569211,4.2145527096247675e-05,0.17147702367915063
45.0,169.32816599999205,0.8177129668649892,0.0,0.00019065225891701256,0.007048494543643831,1.575654615750451e-06,0.3731250905920812,0.008177129668649892,-50940526.29383311,54706000.0,5953.692293858968,8558.27156544067,2552.370485131963,4649.380914954452,0.49769572942435836,0.5004528971885079,221.57860240837502,120.84031833758034,217.06687853694493,3.3003222287023886e-13,4650808.961863915,1.27278979998664,74.0,10.0,9.0,2.0,16.0,100.0,1000.0,0.09090909090909091,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.25737639776727406,n-Butane,0.11987175180429868,0.12002242918638269,0.00015067738208400516,0.8799354155798286,0.036125710342042795,0.12002242918638269,0.7924167813383404,4.215523378872062e-05,0.1714575083196169
60.0,210.44165530000464,0.7993372004872983,1.0,0.00017993935894361143,0.0062101118824008,1.0682124965429492e-06,0.13922935561505861,0.007993372004872983,-50975523.983610585,54706000.0,5953.804091436242,8561.206006691133,2550.359266981019,4647.177021176995,0.49778121722514745,0.5003425768951063,221.66972468898635,120.8754684688163,217.10444668550434,2.486701123709786e-13,4652699.3292835485,1.422088600025745,75.0,11.0,8.0,2.0,16.0,100.0,1100.0,0.08333333333333333,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.34849867837860415,n-Butane,0.11987175180429868,0.12004078927821345,0.00016903747391476542,0.8799170419153932,0.036132676242463566,0.12004078927821345,0.7924126973578405,4.216880639326039e-05,0.17145462639969591
75.0,249.4728529000131,0.7016760577982987,1.0,0.00014856977945579882,0.00586021537503143,1.3714012514524457e-06,0.3191824748882027,0.0070167605779829865,-51011912.041921966,54706000.0,5953.940432487662,8564.458366303006,2548.5092619511684,4639.805440707806,0.4978713782629053,0.5001151669236015,221.75792407239723,120.90984534944937,217.14338759013137,6.135457309709756e-13,4653977.748029097,1.1946171000017785,72.0,8.0,8.0,2.0,16.0,100.0,800.0,0.1111111111111111,5.0,179.999,-35172407.96384422,1489019.9225219116,221.32122601060775,0.43669806178948534,n-Butane,0.11987175180429868,0.12006354018144559,0.00019178837714690922,0.879894273542285,0.036129368817308966,0.12006354018144559,0.7924033422643136,4.218627626938818e-05,0.17146728891837734
